=== Training Configuration ===
data_path: data/dataset_name/train
train_batch_size: 2
valid_batch_size: 2
num_workers: 0
num_epochs: 250
accumulation_steps: 4
segmentation_model: Unet
encoder: resnet101
pretrained_weights: imagenet
activation_function: sigmoid
use_deep_decoder: False
loss_function: FocalTverskyLoss
optimizer: AdamW
lr: 5e-05
lambda_reg: 0.2
lambda_cls: 0.3
lr_schedule: onecycle
logs_file_path: output/logs/training_logs.txt
model_save_path: output/models/density_model.pth
confusion_matrix_epochs: 50
tsne_plot: True
device_ids: None
weight_decay: 0.0001

=== Training Progress ===
Epoch	Train_Loss	Train_Dice	Train_RegMAE	Train_BIRADS	Val_Loss	Val_Dice	Val_RegMAE	Val_BIRADS	Comb_Score
1	0.9079	0.0884	19.34	46.19	0.8999	0.0957	18.72	52.54	0.3824
2	0.8925	0.1017	19.34	43.86	0.8907	0.1018	18.72	19.49	0.3028
3	0.8872	0.1054	19.34	43.86	0.8858	0.1071	18.72	59.32	0.4051
4	0.8803	0.1137	19.34	40.68	0.8816	0.1130	18.72	47.46	0.3783
5	0.8783	0.1152	19.34	44.07	0.8771	0.1181	18.72	52.54	0.3936
6	0.8703	0.1258	19.34	46.40	0.8729	0.1232	18.72	65.25	0.4279
7	0.8706	0.1279	19.34	44.70	0.8695	0.1328	18.72	40.68	0.3713
8	0.8666	0.1377	19.33	41.74	0.8669	0.1417	18.71	64.41	0.4351
9	0.8647	0.1454	19.33	42.37	0.8640	0.1504	18.71	52.54	0.4098
10	0.8619	0.1521	19.32	40.89	0.8620	0.1555	18.70	62.71	0.4378
11	0.8587	0.1596	19.32	45.34	0.8601	0.1578	18.70	62.71	0.4389
12	0.8558	0.1631	19.31	47.88	0.8579	0.1614	18.69	64.41	0.4450
13	0.8547	0.1667	19.31	43.22	0.8564	0.1621	18.68	55.93	0.4242
14	0.8532	0.1680	19.30	44.28	0.8546	0.1643	18.67	62.71	0.4422
15	0.8527	0.1666	19.28	43.01	0.8529	0.1644	18.64	41.53	0.3894
16	0.8491	0.1700	19.21	45.55	0.8513	0.1640	18.48	46.61	0.4023
17	0.8906	0.1673	18.88	72.25	0.8900	0.1665	17.76	70.34	0.4647
18	0.9280	0.1713	17.85	72.67	0.9280	0.1660	15.94	70.34	0.4690
19	0.9661	0.1705	15.43	72.67	0.9650	0.1671	12.45	70.34	0.4783
20	1.0006	0.1736	12.05	72.67	0.9996	0.1693	9.43	70.34	0.4869
21	1.0300	0.1746	9.75	72.67	1.0205	0.1703	8.86	70.34	0.4889
22	1.0301	0.1741	9.00	72.67	0.9997	0.1684	8.39	70.34	0.4891
23	0.9888	0.1775	8.73	72.67	0.9772	0.1735	7.87	70.34	0.4929
24	0.9921	0.1887	8.84	72.67	0.9833	0.1851	6.83	70.34	0.5013
25	0.9942	0.1967	8.50	72.67	0.9857	0.1935	6.40	70.34	0.5066
26	1.0047	0.2034	7.96	72.67	0.9986	0.2021	5.89	70.34	0.5122
27	1.0003	0.2113	8.20	72.67	0.9960	0.2045	6.51	70.34	0.5118
28	0.9954	0.2202	7.78	72.67	0.9915	0.2147	6.35	70.34	0.5173
29	0.9876	0.2311	7.31	72.67	0.9763	0.2337	5.88	70.34	0.5280
30	0.9813	0.2472	7.65	72.67	0.9845	0.2400	6.04	70.34	0.5308
31	0.9708	0.2570	7.20	72.67	0.9719	0.2544	5.61	70.34	0.5390
32	0.9730	0.2715	7.30	72.67	0.9717	0.2715	6.15	70.34	0.5462
33	0.9653	0.2841	7.26	72.67	0.9771	0.2863	6.62	70.34	0.5524
34	0.9689	0.3005	7.11	72.67	0.9731	0.2913	5.70	70.34	0.5573
35	0.9601	0.3122	7.25	72.67	0.9727	0.3116	5.79	70.34	0.5672
36	0.9698	0.3270	7.37	72.67	0.9969	0.3251	7.24	70.34	0.5703
37	0.9605	0.3371	7.01	72.67	0.9697	0.3297	5.44	70.34	0.5771
38	0.9566	0.3532	7.33	72.67	0.9598	0.3326	5.40	70.34	0.5786
39	0.9544	0.3476	7.26	72.67	0.9718	0.3272	5.42	70.34	0.5759
40	0.9454	0.3449	6.79	72.67	0.9612	0.3314	5.38	70.34	0.5781
41	0.9401	0.3464	6.70	72.67	0.9697	0.3699	7.21	70.34	0.5927
42	0.9338	0.4287	6.87	72.67	0.9525	0.4423	5.79	70.34	0.6325
43	0.9409	0.4859	7.05	72.67	0.9489	0.4935	5.37	70.34	0.6591
44	0.9280	0.5157	6.80	72.67	0.9515	0.5362	5.96	70.34	0.6790
45	0.9233	0.5406	6.98	72.67	0.9372	0.5176	5.44	70.34	0.6711
46	0.9156	0.5422	6.80	72.67	0.9245	0.5001	5.82	70.34	0.6614
47	0.9163	0.5610	7.03	72.67	0.9285	0.5331	6.46	70.34	0.6762
48	0.9161	0.5712	7.45	72.67	0.9287	0.5962	5.67	70.34	0.7098
49	0.9093	0.5666	6.10	72.67	0.9353	0.5858	5.45	70.34	0.7051
